"행정구역별",2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020
"행정구역별",독거노인가구비율<br>(A÷B×100) (%),독거노인가구비율<br>(A÷B×100) (%),65세이상 1인가구<br>(A) (가구),65세이상 1인가구<br>(A) (가구),전체 일반가구<br>(B) (가구),전체 일반가구<br>(B) (가구),독거노인가구비율<br>(A÷B×100) (%),독거노인가구비율<br>(A÷B×100) (%),65세이상 1인가구<br>(A) (가구),65세이상 1인가구<br>(A) (가구),전체 일반가구<br>(B) (가구),전체 일반가구<br>(B) (가구),독거노인가구비율<br>(A÷B×100) (%),독거노인가구비율<br>(A÷B×100) (%),65세이상 1인가구<br>(A) (가구),65세이상 1인가구<br>(A) (가구),전체 일반가구<br>(B) (가구),전체 일반가구<br>(B) (가구),독거노인가구비율<br>(A÷B×100) (%),독거노인가구비율<br>(A÷B×100) (%),65세이상 1인가구<br>(A) (가구),65세이상 1인가구<br>(A) (가구),전체 일반가구<br>(B) (가구),전체 일반가구<br>(B) (가구),독거노인가구비율<br>(A÷B×100) (%),독거노인가구비율<br>(A÷B×100) (%),65세이상 1인가구<br>(A) (가구),65세이상 1인가구<br>(A) (가구),전체 일반가구<br>(B) (가구),전체 일반가구<br>(B) (가구)
"행정구역별",원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률)
"영등포구",5.5,0.2 (3.8),8149,251 (3.2),146904,-841 (-0.6),5.7,0.2 (3.6),8477,328 (4.0),147559,655 (0.4),5.8,0.1 (1.8),8678,201 (2.4),149831,2272 (1.5),6.0,0.2 (3.4),9259,581 (6.7),153923,4092 (2.7),6.2,0.2 (3.3),10036,777 (8.4),162391,8468 (5.5)
"동작구",4.7,0.2 (4.4),7482,305 (4.2),159770,-1230 (-0.8),5.0,0.3 (6.4),7997,515 (6.9),160062,292 (0.2),5.2,0.2 (4.0),8453,456 (5.7),161495,1433 (0.9),5.6,0.4 (7.7),9187,734 (8.7),164963,3468 (2.1),5.9,0.3 (5.4),9923,736 (8.0),167766,2803 (1.7)
"관악구",4.5,0.3 (7.1),10333,693 (7.2),230570,1934 (0.8),4.7,0.2 (4.4),10915,582 (5.6),232212,1642 (0.7),4.9,0.2 (4.3),11503,588 (5.4),236761,4549 (2.0),5.2,0.3 (6.1),12500,997 (8.7),242154,5393 (2.3),5.5,0.3 (5.8),13676,1176 (9.4),248959,6805 (2.8)
"서초구",3.3,0.1 (3.1),5152,297 (6.1),155051,1020 (0.7),3.6,0.3 (9.1),5575,423 (8.2),155513,462 (0.3),3.8,0.2 (5.6),5888,313 (5.6),155418,-95 (-0.1),4.0,0.2 (5.3),6277,389 (6.6),155377,-41 (-0.0),4.4,0.4 (10.0),6891,614 (9.8),156123,746 (0.5)
"강남구",3.8,0.2 (5.6),7906,392 (5.2),208904,-2453 (-1.2),4.1,0.3 (7.9),8502,596 (7.5),207369,-1535 (-0.7),4.3,0.2 (4.9),8819,317 (3.7),203083,-4286 (-2.1),4.6,0.3 (7.0),9490,671 (7.6),206524,3441 (1.7),4.9,0.3 (6.5),10335,845 (8.9),208833,2309 (1.1)
"송파구",3.7,0.2 (5.7),8586,505 (6.2),230801,-140 (-0.1),3.9,0.2 (5.4),9326,740 (8.6),237516,6715 (2.9),4.1,0.2 (5.1),10036,710 (7.6),243547,6031 (2.5),4.4,0.3 (7.3),11128,1092 (10.9),252212,8665 (3.6),4.8,0.4 (9.1),12324,1196 (10.7),255766,3554 (1.4)
"강동구",4.7,0.2 (4.4),7580,262 (3.6),160021,-4073 (-2.5),5.1,0.4 (8.5),8207,627 (8.3),160680,659 (0.4),5.4,0.3 (5.9),8666,459 (5.6),159233,-1447 (-0.9),5.8,0.4 (7.4),9523,857 (9.9),162976,3743 (2.4),6.1,0.3 (5.2),10831,1308 (13.7),177148,14172 (8.7)
"부산광역시",7.7,0.4 (5.5),102877,5826 (6.0),1344170,8270 (0.6),8.1,0.4 (5.2),109391,6514 (6.3),1354401,10231 (0.8),8.6,0.5 (6.2),116589,7198 (6.6),1363608,9207 (0.7),9.1,0.5 (5.8),124735,8146 (7.0),1377030,13422 (1.0),9.7,0.6 (6.6),135957,11222 (9.0),1405037,28007 (2.0)
"중구",11.7,0.7 (6.4),2395,131 (5.8),20468,-170 (-0.8),12.0,0.3 (2.6),2444,49 (2.0),20307,-161 (-0.8),13.0,1 (8.3),2578,134 (5.5),19886,-421 (-2.1),13.4,0.4 (3.1),2661,83 (3.2),19847,-39 (-0.2),14.5,1.1 (8.2),2971,310 (11.6),20508,661 (3.3)
"서구",11.3,0.5 (4.6),5264,214 (4.2),46391,-451 (-1.0),11.8,0.5 (4.4),5361,97 (1.8),45600,-791 (-1.7),12.3,0.5 (4.2),5657,296 (5.5),46072,472 (1.0),12.7,0.4 (3.3),5906,249 (4.4),46608,536 (1.2),13.4,0.7 (5.5),6353,447 (7.6),47261,653 (1.4)
